,sentence,score,rating,percentile
0,Liebe Frau Kollegin!,4.600472880990753e-06,1,5.737621566654767
1,"Mr President, I respect your decision.",5.309973544137287e-06,1,6.992719523144992
2,"Madam President, Commissioner, dear colleagues!",5.930507827333392e-06,1,7.939722411536257
3,Pursuant to art.,4.247440059152512e-06,0,5.195426172935666
4,I voted in favor of the Stihler report.,5.812358979078759e-06,1,7.584677462975583
5,I voted in favor of the joint resolution.,6.66415098202247e-06,1,9.848224234359956
6,I voted against the proposal.,5.177919630832624e-06,1,6.605004381267647
7,I support this Report.,4.360101124622552e-06,1,5.334761302047837
8,"Madam President, ladies and gentlemen, Commissioner!",6.3779819149677334e-06,1,8.90706303616439
9,I vote positively for my colleague's report.,6.311568473014242e-06,1,8.766646112571534
10,"Commissioner, Madam President, dear colleagues!",5.723715333508241e-06,1,7.457891149839353
11,This text establishes balanced community regulations.,6.3085448005235465e-06,0,8.757342680037647
12,I voted in favour of this Report.,6.57616703562522e-06,1,9.498804617098845
13,"Mr President, dear colleagues!",5.107782457629253e-06,1,6.344724629214942
14,Dear fellow representatives!,4.471119915407379e-06,1,5.596122848581227
15,"Mr President, the previous speaker referred to Voltaire.",6.586079668404858e-06,0,9.649823126602408
16,I have a specific question for you.,5.666434082565854e-06,1,7.380651023918476
17,"Madam President, three weeks.",4.819741266990429e-06,1,5.880634797001266
18,"Mr President, I supported the Gaza resolution.",5.729283659234893e-06,1,7.468276376853926
19,"Thank you for speaking, Mr. President!",5.815672551130282e-06,1,7.586624693040816
20,"Mr President, I agree with the previous speakers.",6.6427319064772e-06,1,9.799110764936877
21,"Mr. President, ladies and gentlemen!",5.890196693471626e-06,1,7.782429494044721
22,"Madam President, honourable Commissioner!",4.933900760038914e-06,1,5.957009487337596
23,"Mr President, 1999 already seems ages ago.",5.993849516523609e-06,0,8.140287108255173
24,"Mr President, dear colleagues!",5.107782457629253e-06,1,6.344724629214942
25,I voted in favour of this report today.,6.693461524350006e-06,1,9.917242722227632
26,I voted against this report.,5.226479615374916e-06,1,6.831099427730719
27,I voted against granting the discharge.,5.692792345426143e-06,1,7.4165666006772035
28,I voted in support of this report.,6.086177359622964e-06,1,8.277458648405975
29,"Honorable chairman, colleagues!",4.422607221259952e-06,1,5.482967145901622
30,"Madam President, Ms Johansson!",4.745916773064485e-06,1,5.831088609785913
31,That answer illustrates why I asked the question.,6.512490671464387e-06,1,9.318144938824522
32,Herr Kollege van Dalen!,5.4062820057877864e-06,1,7.08121031166499
33,"Madam President, I was in Rome last week.",6.607935159242125e-06,0,9.724250586873506
34,"Madam President, dear Vice President Georgieva, dear Kristalina!",6.5458982084077165e-06,1,9.40447213838315
35,I welcome the motion for a resolution.,5.810387813701513e-06,1,7.582730232910352
36,"Madam President, dear Commissioner Thyssen!",5.468936768718576e-06,1,7.141574443687189
37,"Mr President, dear Commission, colleagues!",5.240425665375562e-06,1,6.900334274494531
38,Thank you for this question.,5.831875529876371e-06,1,7.6121550427849725
39,Respect for fundamental rights is absolutely fundamental.,6.6309332346825895e-06,0,9.770335031750669
40,Ladies and gentlemen!,4.4696332998732e-06,1,5.570808857733208
41,"President, we are on a dangerous path.",5.979214654460976e-06,0,8.114107681822608
42,"Madam President, dear colleagues!",5.216992373246432e-06,1,6.6547669273791366
43,We vote for the report.,5.383734585119792e-06,1,7.062170728804941
44,Dear colleague Grapini!,4.3122172243110066e-06,1,5.256872099438549
45,"Madam President, Commissioner, dear colleagues!",5.930507827333392e-06,1,7.939722411536257
46,I strongly opposed this report.,4.88734477243204e-06,1,5.92239206395569
47,"Mr President, I will be very brief.",6.1703392659144005e-06,1,8.417875571998831
48,The financial markets have gone crazy.,6.204487617243113e-06,0,8.5026882592845
49,I abstained on this text.,5.1511115211688944e-06,1,6.536418611192246
50,I voted against this report.,5.226479615374916e-06,1,6.831099427730719
51,Dominique Martin abstained on this vote.,6.229062655690637e-06,1,8.552234446499854
52,I voted in favour of this resolution.,6.5365024703136545e-06,1,9.365527537078504
53,"Mr President, Commissioner!",4.398852402614105e-06,1,5.376302210106124
54,"Madam President, Mr.",4.326240915239473e-06,1,5.262281071841971
55,"Madam President, dear colleagues!",5.216992373246432e-06,1,6.6547669273791366
56,"Mr President, I will be very brief.",6.1703392659144005e-06,1,8.417875571998831
57,"Mr President, ladies and gentlemen!",5.890196693471626e-06,1,7.782429494044721
58,Fru talman!,3.5741191923433e-06,1,4.911563301204038
59,I voted for this report with pleasure.,6.008980293095941e-06,1,8.156081307673169
60,My formal background is that of a dentist.,5.929612947063152e-06,0,7.939289693743983
61,I voted in favour of this report.,6.57616703562522e-06,1,9.498804617098845
62,Thank you for your comprehensive answer.,6.385306524172758e-06,1,8.928482566881945
63,This draft amending budget no.,5.950917742885167e-06,1,8.019558844210776
64,I voted against this motion for a resolution.,6.510824529343242e-06,1,9.310788736355867
65,"Mr President, the choice is very clear.",6.33566168331633e-06,1,8.814245069721654
66,I abstained on this vote.,5.0979638784477964e-06,1,6.330012224277631
67,"Mr President, ladies and gentlemen!",5.890196693471626e-06,1,7.782429494044721
68,I voted in favour of this report.,6.57616703562522e-06,1,9.498804617098845
69,The answer is evident.,4.912141767679389e-06,1,5.942729800192559
70,This cannot be EU policy.,5.470371872638754e-06,0,7.148065210571295
71,I voted for this text.,5.160937221058639e-06,1,6.567141574443687
72,"Mr President, I think that is acceptable.",6.03348462367055e-06,1,8.192429602224168
73,The European social model is unique.,6.04139178662049e-06,0,8.202382111446466
74,Fru talman!,3.5741191923433e-06,1,4.911563301204038
75,I voted in favor of this resolution.,6.549040744476121e-06,1,9.408799316305888
76,Fru talman!,3.5741191923433e-06,1,4.911563301204038
77,"Mr President, dear colleagues.",5.107782457629253e-06,1,6.344724629214942
78,"Madam President, ladies and gentlemen!",5.965564909297974e-06,1,8.046820065124027
79,I voted in favour of the Garriga-Polledo report.,6.548057999179179e-06,1,9.407501162929066
80,"Madam President, on a point of order.",6.148936860978186e-06,1,8.377200099525092
81,"Madam President, the Amazon is burning.",5.751338249467462e-06,0,7.518255281861553
82,I voted in favor of the text.,6.192899695526851e-06,1,8.473479808306019
83,— I voted in favour of this resolution.,6.5365024703136545e-06,1,9.365527537078504
84,"Madam President, dear Commissioner Hahn!",5.577288426123663e-06,1,7.272038858057746
85,"Madam President, Commissioner, colleague Tomašić!",5.18311180199651e-06,1,6.608466123605837
86,I voted in favor of this report.,6.604316464517079e-06,1,9.69028224018001
87,I strongly support employee participation in the ownership structure.,6.68314268399701e-06,0,9.897121344886898
88,I am in favor of the text.,6.120945737070028e-06,1,8.338471857116584
89,I voted in favour of this report.,6.57616703562522e-06,1,9.498804617098845
90,I voted in favor of my colleague's proposal.,6.643816983465842e-06,1,9.803221583963479
91,"Mr President, dear Commissioner Ansip!",5.255686534645698e-06,1,6.9492313850214735
92,"Mr President, congratulations on your appointment.",6.055507687472613e-06,1,8.23505230476314
93,Antimicrobial resistance in humans is increasing.,6.351120122601438e-06,0,8.844968032973096
94,Fru talman!,3.5741191923433e-06,1,4.911563301204038
95,"Madam President, dear colleagues!",5.216992373246432e-06,1,6.6547669273791366
96,"Dear Mr. President, dear Commissioner!",5.146034175340496e-06,1,6.525384307489262
97,I strongly support colleague Maria Noichl's report.,6.423658858510238e-06,1,9.003342744945316
98,Dear Mr. PRESIDENT!,4.018944770507189e-06,1,5.070154372072393
99,"Mr President, this is a point of order.",6.463770151803744e-06,1,9.150034076526142
